supplier_name_raw,supplier_name_norm,candidate_company_number,candidate_company_name,match_score,candidate_count,total_spend,decision,queue_reason
Park View Day Nursery,PARK VIEW DAY NURSERY,11772852,PARK VIEW DAY NURSERY LIMITED,1.0,1,264462.27,,tier 4 fuzzy
SMITHS DETECTION WATFORD LTD,SMITHS DETECTION WATFORD LTD,05138140,SMITHS DETECTION GROUP LIMITED,,1,264257.11,,tier 1 demoted: register name disagrees
AECOM,AECOM,01846493,AECOM LIMITED,1.0,1,263589.98,,tier 4 fuzzy
KANTAR PUBLIC UK LTD,KANTAR PUBLIC UK LTD,13663077,VERIAN GROUP UK LIMITED,,1,262465.82,,tier 1 demoted: register name disagrees
SFJ AWARDS,SFJ AWARDS,06926458,SFJ AWARDS LIMITED,1.0,1,258021,,tier 4 fuzzy
SFJ AWARDS,SFJ AWARDS,06926458,SFJ AWARDS LIMITED,,1,258021,,tier 1 demoted: register name disagrees
CGLS Accountancy Ltd,CGLS ACCOUNTANCY LTD,09937413,CGLS ACCOUNTANCY LIMITED,1.0,1,250000,,tier 4 fuzzy
Mills & Reeve,MILLS AND REEVE,OC326165,MILLS & REEVE LLP,,1,248321.42,,tier 1 demoted: register name disagrees
Mills & Reeve,MILLS AND REEVE,02242713,MILLS & REEVE LIMITED,1.0,2,248321.42,,tier 4 fuzzy
Scrutiny Cleaning Services,SCRUTINY CLEANING SERVICES,06150330,SCRUTINY CLEANING SERVICES LIMITED,1.0,1,248249.58,,tier 4 fuzzy
RAPE & SEXUAL ABUSE (RASA) CENTRE,RAPE AND SEXUAL ABUSE RASA CENTRE,04538556,RAPE AND SEXUAL ABUSE CENTRE (RASA) LIMITED,1.0,1,247899,,tier 4 fuzzy
RAPE & SEXUAL ABUSE (RASA) CENTRE LTD,RAPE AND SEXUAL ABUSE RASA CENTRE LTD,04538556,RAPE AND SEXUAL ABUSE CENTRE (RASA) LIMITED,1.0,1,247899,,tier 4 fuzzy
RG Law,RG LAW,12481187,RG LAW LTD,1.0,1,245000,,tier 4 fuzzy
Watson Ramsbottom,WATSON RAMSBOTTOM,07950137,WATSON RAMSBOTTOM LIMITED,1.0,1,244000,,tier 4 fuzzy
Business Stream,BUSINESS STREAM,SC332092,BUSINESS STREAM LTD,1.0,1,236744.67,,tier 4 fuzzy
Business Stream,BUSINESS STREAM,SC332092,BUSINESS STREAM LTD,,1,236744.67,,tier 1 demoted: register name disagrees
CenturyPlus Ltd,CENTURYPLUS LTD,09998565,CENTURYPLUS LIMITED,1.0,1,235260.14,,tier 4 fuzzy
Glamorgan White Lining,GLAMORGAN WHITE LINING,03901449,GLAMORGAN WHITE LINING LIMITED,1.0,1,229090.37,,tier 4 fuzzy
CCS Media Limited,CCS MEDIA LTD,04418144,ADVANIA UK (CCS) LIMITED,,1,226750.16,,tier 1 demoted: register name disagrees
Maple House Day Nursery,MAPLE HOUSE DAY NURSERY,10420186,MAPLE HOUSE DAY NURSERY LIMITED,1.0,1,226344.06,,tier 4 fuzzy
Happy Tots Nursery,HAPPY TOTS NURSERY,09136488,HAPPY TOTS NURSERY LIMITED,1.0,1,223966.87,,tier 4 fuzzy
Womble Bond Dickinson LLP,WOMBLE BOND DICKINSON LLP,OC317661,WOMBLE BOND DICKINSON (UK) LLP,,1,223514,,tier 1 demoted: register name disagrees
North East Truck & Van,NORTH EAST TRUCK AND VAN,02786349,NORTH EAST TRUCK & VAN LIMITED,1.0,1,223250.69,,tier 4 fuzzy
Ashurst LLP,ASHURST LLP,OC330252,ASHURST PERKINS COIE UK LLP,,1,222522,,tier 1 demoted: register name disagrees
ROSA,ROSA,12144267,ROSA LTD,1.0,2,220449,,tier 4 fuzzy
Cameron Crowe,CAMERON CROWE,NI045652,CAMERON CROWE LIMITED,1.0,1,217800,,tier 4 fuzzy
Littleways Day Nursery,LITTLEWAYS DAY NURSERY,04560471,LITTLEWAYS DAY NURSERY LIMITED,1.0,1,214880.25,,tier 4 fuzzy
Walk The Plank Ltd,WALK THE PLANK LTD,03028442,WALK THE PLANK,1.0,1,214144.81,,tier 4 fuzzy
NL Group,NL GROUP,04295083,NL GROUP LIMITED,1.0,1,211806.37,,tier 4 fuzzy
Central Chambers,CENTRAL CHAMBERS,14980216,CENTRAL CHAMBERS LTD,1.0,1,210850,,tier 4 fuzzy
VOHKUS,VOHKUS,04142508,VOHKUS LIMITED,1.0,1,209684.28,,tier 4 fuzzy
Freshworks Inc,FRESHWORKS INC,09338697,FRESHWORKS TECHNOLOGIES UK LIMITED,,1,209652.89,,tier 1 demoted: register name disagrees
Integrity360,INTEGRITY360,03538529,INTEGRITY360 LIMITED,1.0,1,208137.41,,tier 4 fuzzy
HERBERT SMITH FREEHILLS LLP,HERBERT SMITH FREEHILLS LLP,OC310989,HERBERT SMITH FREEHILLS KRAMER LLP,,1,206873.7,,tier 1 demoted: register name disagrees
People First Housing Association,PEOPLE FIRST HOUSING ASSOCIATION,IP27746R,PEOPLE FIRST HOUSING ASSOCIATION LTD.,1.0,1,205600.78,,tier 4 fuzzy
Impact Mentoring,IMPACT MENTORING,10552787,IMPACT MENTORING LTD,1.0,1,204960.5,,tier 4 fuzzy
SAFELIVES LTD,SAFELIVES LTD,05203237,SAFELIVES,1.0,1,198125.44,,tier 4 fuzzy
FINANCIAL TIMES LTD,FINANCIAL TIMES LTD,00227590,FINANCIAL TIMES LIMITED(THE),,1,195976,,tier 1 demoted: register name disagrees
Wendy House Nursery,WENDY HOUSE NURSERY,09129153,THE WENDY HOUSE NURSERY LTD,1.0,1,194352.11,,tier 4 fuzzy
The Growth Company,GROWTH COMPANY,02443911,THE GROWTH COMPANY LIMITED,,1,193862.5,,tier 1 demoted: register name disagrees
The Growth Company,GROWTH COMPANY,02443911,THE GROWTH COMPANY LIMITED,1.0,1,193862.5,,tier 4 fuzzy
Easy Access Scaffolding,EASY ACCESS SCAFFOLDING,07957351,EASY ACCESS SCAFFOLDING LIMITED,1.0,1,193676.13,,tier 4 fuzzy
Ladybirds Kinder Class,LADYBIRDS KINDER CLASS,04488823,LADYBIRDS KINDER CLASS LTD,1.0,1,192222.56,,tier 4 fuzzy
EALING COMMUNITY TRANSPORT LTD,EALING COMMUNITY TRANSPORT LTD,07211806,EALING COMMUNITY TRANSPORT,1.0,1,190856.22,,tier 4 fuzzy
BLACKS SOLICITORS,BLACKS SOLICITORS,OC309566,BLACKS SOLICITORS LLP,1.0,1,188709.9,,tier 4 fuzzy
Manchester Credit Union,MANCHESTER CREDIT UNION,IP00235C,MANCHESTER CREDIT UNION LIMITED,1.0,1,187467.11,,tier 4 fuzzy
UNIVERSITY OF CENTRAL LANCASHIRE,UNIVERSITY OF CENTRAL LANCASHIRE,02340053,UNIVERSITY OF LANCASHIRE BUSINESS SERVICES LIMITED,,1,187206.19,,tier 1 demoted: register name disagrees
Happy Days Nursery,HAPPY DAYS NURSERY,04394075,HAPPY DAYS NURSERY LIMITED,1.0,1,187138.9,,tier 4 fuzzy
Full Circle Care,FULL CIRCLE CARE,06610632,FULL CIRCLE CARE LTD,1.0,1,185509.44,,tier 4 fuzzy
CYBERIS LIMITED,CYBERIS LTD,07556994,CYBERIS REPLY LIMITED,,1,185150,,tier 1 demoted: register name disagrees
Ikon Fostering,IKON FOSTERING,09055343,IKON FOSTERING LIMITED,1.0,1,184250.04,,tier 4 fuzzy
Simply Cherish Day Nursery,SIMPLY CHERISH DAY NURSERY,06647247,SIMPLY CHERISH DAY NURSERY LTD.,1.0,1,183901.58,,tier 4 fuzzy
Read Roper and Read T/A LPL,READ ROPER AND READ,OC362191,READ ROPER AND READ LLP,1.0,1,182000,,tier 4 fuzzy
The National Autistic Society,NATIONAL AUTISTIC SOCIETY,01205298,NATIONAL AUTISTIC SOCIETY(THE),,1,179506.39,,tier 1 demoted: register name disagrees
The Copyright Licensing Agency Ltd,COPYRIGHT LICENSING AGENCY LTD,01690026,COPYRIGHT LICENSING AGENCY LIMITED(THE),,1,178188.82,,tier 1 demoted: register name disagrees
York Wheels,YORK WHEELS,04448963,YORK WHEELS LIMITED,1.0,1,177406.59,,tier 4 fuzzy
Community Foster Care Ltd,COMMUNITY FOSTER CARE LTD,03719101,COMMUNITY FOSTER CARE,1.0,1,177295.13,,tier 4 fuzzy
Michael Page International,MICHAEL PAGE INTERNATIONAL,02327468,MICHAEL PAGE INTERNATIONAL LIMITED,1.0,1,176691.66,,tier 4 fuzzy
Huntington Kinder Class,HUNTINGTON KINDER CLASS,12049422,HUNTINGTON KINDER CLASS LTD,1.0,1,172038.92,,tier 4 fuzzy
Barlow Moor Community Association,BARLOW MOOR COMMUNITY ASSOCIATION,07476646,BARLOW MOOR COMMUNITY ASSOCIATION LIMITED,1.0,1,170764.35,,tier 4 fuzzy
Moores Furniture Group Limited,MOORES FURNITURE GROUP LTD,01083749,M REALISATIONS 2026 LIMITED,,1,170415.94,,tier 1 demoted: register name disagrees
BOURNEMOUTH INTERNATIONAL AIRPORT,BOURNEMOUTH INTERNATIONAL AIRPORT,02078270,BOURNEMOUTH INTERNATIONAL AIRPORT LIMITED,1.0,1,170396.24,,tier 4 fuzzy
Essex Wildlife Trust,ESSEX WILDLIFE TRUST,00638666,ESSEX WILDLIFE TRUST LIMITED,1.0,1,170088.23,,tier 4 fuzzy
Complete Background Screening,COMPLETE BACKGROUND SCREENING,05435348,COMPLETE BACKGROUND SCREENING LTD,1.0,1,169112,,tier 4 fuzzy
Bucher Municipal,BUCHER MUNICIPAL,00199841,BUCHER MUNICIPAL LIMITED,1.0,1,168594,,tier 4 fuzzy
Bucher Municipal,BUCHER MUNICIPAL,00199841,BUCHER MUNICIPAL LIMITED,,1,168594,,tier 1 demoted: register name disagrees
Rigby Taylor Ltd,RIGBY TAYLOR LTD,00157345,ORIGIN AMENITY SOLUTIONS LIMITED,,1,166936.18,,tier 1 demoted: register name disagrees
Greenshoot Care Services,GREENSHOOT CARE SERVICES,08536258,GREENSHOOT CARE SERVICES LIMITED,1.0,1,165239.95,,tier 4 fuzzy
Brightsparks Agency Ltd,BRIGHTSPARKS AGENCY LTD,09181544,BRIGHTSPARKS AGENCY LTD,1.0,1,165001.57,,tier 4 fuzzy
CAPSTICKS LLP,CAPSTICKS LLP,OC340360,CAPSTICKS SOLICITORS LLP,,1,165000,,tier 1 demoted: register name disagrees
Advanced Business Solutions,ADVANCED BUSINESS SOLUTIONS,11125626,ADVANCED BUSINESS SOLUTIONS LTD,1.0,1,164435.63,,tier 4 fuzzy
Lakeside School,LAKESIDE SCHOOL,05427002,LAKESIDE SCHOOL LIMITED,1.0,1,162087.23,,tier 4 fuzzy
Alderson House,ALDERSON HOUSE,03713784,ALDERSON HOUSE LIMITED,1.0,1,161127.53,,tier 4 fuzzy
Lacuna Agency,LACUNA AGENCY,09563851,LACUNA AGENCY LTD,1.0,1,160392,,tier 4 fuzzy
Sopra Steria,SOPRA STERIA,04077975,SOPRA STERIA LIMITED,1.0,1,159900,,tier 4 fuzzy
York Steiner School,YORK STEINER SCHOOL,01591107,YORK STEINER SCHOOL LIMITED,1.0,1,159825.64,,tier 4 fuzzy
GoGet,GOGET,13828174,GOGET LTD,1.0,1,159180.53,,tier 4 fuzzy
Cowling Swift & Kitchin,COWLING SWIFT AND KITCHIN,07935708,COWLING SWIFT & KITCHIN LIMITED,1.0,1,157650,,tier 4 fuzzy
Slimming World,SLIMMING WORLD,01555105,SLIMMING WORLD LIMITED,1.0,1,152350.5,,tier 4 fuzzy
OPTIMA HEALTH,OPTIMA HEALTH,13886031,OPTIMA HEALTH PLC,1.0,1,151764.59,,tier 4 fuzzy
Kenwood Day Nursery,KENWOOD DAY NURSERY,12177332,KENWOOD DAY NURSERY LTD,1.0,1,150037.64,,tier 4 fuzzy
WORKING CHANCE,WORKING CHANCE,06331809,WORKING CHANCE LIMITED,1.0,1,150000,,tier 4 fuzzy
Nottingham Rehab,NOTTINGHAM REHAB,01948041,NOTTINGHAM REHAB LIMITED,1.0,1,149971.15,,tier 4 fuzzy
Capstone Foster Care,CAPSTONE FOSTER CARE,06128293,CAPSTONE FOSTER CARE LIMITED,1.0,1,149843.72,,tier 4 fuzzy
COVENTRY RAPE AND SEXUAL ABUSE CENTRE (CRASAC),COVENTRY RAPE AND SEXUAL ABUSE CENTRE CRASAC,CE027159,COVENTRY RAPE AND SEXUAL ABUSE CENTRE,0.8571,2,149405,,tier 4 fuzzy
COVENTRY RAPE AND SEXUAL ABUSE CENTRE,COVENTRY RAPE AND SEXUAL ABUSE CENTRE,CE027159,COVENTRY RAPE AND SEXUAL ABUSE CENTRE,1.0,2,149405,,tier 4 fuzzy
Elmtree Grove School,ELMTREE GROVE SCHOOL,15789869,ELMTREE GROVE SCHOOL LTD,1.0,1,148083.78,,tier 4 fuzzy
OASIS PROJECT,OASIS PROJECT,03447762,OASIS PROJECT LTD,1.0,1,147415,,tier 4 fuzzy
Haven Care Group,HAVEN CARE GROUP,10015371,HAVEN CARE GROUP LIMITED,1.0,1,144912.88,,tier 4 fuzzy
Sunnyside,SUNNYSIDE,10554683,SUNNYSIDE LTD,1.0,1,144810.4,,tier 4 fuzzy
School Transport Solutions,SCHOOL TRANSPORT SOLUTIONS,10958195,SCHOOL TRANSPORT SOLUTIONS LTD,1.0,1,144290,,tier 4 fuzzy
Cherry Tree House,CHERRY TREE HOUSE,11892078,CHERRY TREE HOUSE LTD,1.0,1,143717.68,,tier 4 fuzzy
O&K INVESTMENT HOLDING (WORCESTER),O AND K INVESTMENT HOLDING WORCESTER,15302997,O&K INVESTMENT HOLDING (WORCESTER) LTD,1.0,1,143171.79,,tier 4 fuzzy
FLEXIFORM BUSINESS FURNITURE,FLEXIFORM BUSINESS FURNITURE,02542123,FLEXIFORM BUSINESS FURNITURE LIMITED,1.0,1,143075.47,,tier 4 fuzzy
Orchard House,ORCHARD HOUSE,12591440,ORCHARD HOUSE LTD,1.0,1,142506.42,,tier 4 fuzzy
BCL,BCL,08106928,BCL LIMITED,1.0,1,140353.45,,tier 4 fuzzy
The Bluebell Nursery,BLUEBELL NURSERY,07629915,BLUEBELL NURSERY LIMITED,1.0,1,140243.67,,tier 4 fuzzy
Manchester Youth Academy,MANCHESTER YOUTH ACADEMY,08560633,MANCHESTER YOUTH ACADEMY LTD,1.0,1,140014.25,,tier 4 fuzzy
Manchester Creche,MANCHESTER CRECHE,14542206,MANCHESTER CRECHE LIMITED,1.0,1,139912.12,,tier 4 fuzzy
Andrew Haslam,ANDREW HASLAM,06613988,ANDREW HASLAM LIMITED,1.0,1,139867.5,,tier 4 fuzzy
Coram Voice,CORAM VOICE,03050826,CORAM VOICE (FORMERLY VOICE FOR THE CHILD IN CARE),,1,139838.88,,tier 1 demoted: register name disagrees
Reed Talent Solutions t/a Consultancy+,REED TALENT SOLUTIONS,11875450,REED TALENT SOLUTIONS LIMITED,,1,138887.46,,tier 1 demoted: register name disagrees
Reed Talent Solutions t/a Consultancy+,REED TALENT SOLUTIONS,11875450,REED TALENT SOLUTIONS LIMITED,1.0,1,138887.46,,tier 4 fuzzy
PULSE,PULSE,06029025,PULSE LTD,1.0,3,138886.68,,tier 4 fuzzy
Brynawel House Alcohol and Drug Rehabilitation Centre,BRYNAWEL HOUSE ALCOHOL AND DRUG REHABILITATION CENTRE,05708345,BRYNAWEL HOUSE ALCOHOL AND DRUG REHABILITATION CENTRE LTD.,1.0,1,138215,,tier 4 fuzzy
Network Rail Property,NETWORK RAIL PROPERTY,10096751,NETWORK RAIL PROPERTY LIMITED,1.0,1,137597,,tier 4 fuzzy
Reform Radio CIC,REFORM RADIO CIC,08537221,REFORM RADIO COMMUNITY INTEREST COMPANY,,1,136589.17,,tier 1 demoted: register name disagrees
BRUNTWOOD,BRUNTWOOD,06017744,BRUNTWOOD LIMITED,1.0,1,135216.18,,tier 4 fuzzy
Granicus Firmstep Limited,GRANICUS FIRMSTEP LTD,04283951,GRANICUS-FIRMSTEP LIMITED,,1,134215.2,,tier 1 demoted: register name disagrees
Mini Miners Nursery,MINI MINERS NURSERY,11095295,MINI MINERS NURSERY LTD,1.0,1,131146.45,,tier 4 fuzzy
Martin Beisly Fine Art,MARTIN BEISLY FINE ART,11454034,MARTIN BEISLY FINE ART LIMITED,1.0,1,130000,,tier 4 fuzzy
Pavement Testing Services Ltd,PAVEMENT TESTING SERVICES LTD,04374737,XAIS-PTS LIMITED,,1,128229.42,,tier 1 demoted: register name disagrees
Dobbins Industrial Cleaning,DOBBINS INDUSTRIAL CLEANING,04573441,DOBBINS INDUSTRIAL CLEANING LIMITED,1.0,1,128104,,tier 4 fuzzy
Waddington & Son Solicitors,WADDINGTON AND SON SOLICITORS,10719441,WADDINGTON & SON (SOLICITORS) LIMITED,1.0,1,127555.89,,tier 4 fuzzy
Kings Chambers,KINGS CHAMBERS,07091130,KINGS CHAMBERS LIMITED,1.0,1,126561,,tier 4 fuzzy
Kings Chambers,KINGS CHAMBERS,07091130,KINGS CHAMBERS LIMITED,,1,126561,,tier 1 demoted: register name disagrees
SMG (Europe) Ltd,SMG EUROPE LTD,02896111,SMG EUROPE,1.0,1,125177.5,,tier 4 fuzzy
TM Fortis Solicitors,TM FORTIS SOLICITORS,07629393,TM FORTIS SOLICITORS LTD,1.0,1,125000,,tier 4 fuzzy
Cityco,CITYCO,11040161,CITYCO LTD,1.0,1,124975,,tier 4 fuzzy
Parkway Cabs & Cars,PARKWAY CABS AND CARS,08100000,PARKWAY CABS AND CARS LIMITED,1.0,1,124893.5,,tier 4 fuzzy
MHA Auchlochan,MHA AUCHLOCHAN,SC352117,MHA AUCHLOCHAN,1.0,1,124660.97,,tier 4 fuzzy
Bristol Tuition,BRISTOL TUITION,13447711,BRISTOL TUITION LIMITED,1.0,1,124495,,tier 4 fuzzy
Elliott House,ELLIOTT HOUSE,10836785,ELLIOTT HOUSE LIMITED,1.0,1,124445.49,,tier 4 fuzzy
AKCESS CIC,AKCESS CIC,05216027,AKCESS CIC,1.0,1,124317.53,,tier 4 fuzzy
SWIIS Foster Care,SWIIS FOSTER CARE,03985713,SWIIS FOSTER CARE LIMITED,1.0,1,122335.47,,tier 4 fuzzy
Impact For All,IMPACT FOR ALL,07351396,IMPACT FOR ALL LTD.,1.0,1,121870,,tier 4 fuzzy
Inaaya Solicitors,INAAYA SOLICITORS,10364401,INAAYA SOLICITORS LIMITED,1.0,1,121675.57,,tier 4 fuzzy
Kingarth,KINGARTH,07198635,KINGARTH LIMITED,1.0,1,120099.28,,tier 4 fuzzy
AMR CYBER SECURITY LTD,AMR CYBER SECURITY LTD,11551941,AMR CYBERSECURITY LTD,,1,119518.2,,tier 1 demoted: register name disagrees
FINANCIAL REPORTING COUNCIL,FINANCIAL REPORTING COUNCIL,02486368,THE FINANCIAL REPORTING COUNCIL LIMITED,1.0,1,118495.63,,tier 4 fuzzy
FINANCIAL REPORTING COUNCIL,FINANCIAL REPORTING COUNCIL,02486368,THE FINANCIAL REPORTING COUNCIL LIMITED,,1,118495.63,,tier 1 demoted: register name disagrees
SHELBORN ASSET MANAGEMENT,SHELBORN ASSET MANAGEMENT,08439076,SHELBORN ASSET MANAGEMENT LTD,1.0,1,117840.48,,tier 4 fuzzy
INOVEM LTD,INOVEM LTD,04228932,KAHOOTZ LIMITED,,1,117671.4,,tier 1 demoted: register name disagrees
Carebase,CAREBASE,04491605,CAREBASE LIMITED,1.0,1,116083.95,,tier 4 fuzzy
Eversheds Llp,EVERSHEDS LLP,OC304065,EVERSHEDS SUTHERLAND (INTERNATIONAL) LLP,,1,115454.5,,tier 1 demoted: register name disagrees
LAW FOR LIFE FOUNDATION FOR PUBLIC LEGAL EDUCATION,LAW FOR LIFE FOUNDATION FOR PUBLIC LEGAL EDUCATION,07695486,LAW FOR LIFE: THE FOUNDATION FOR PUBLIC LEGAL EDUCATION,0.875,1,115445.25,,tier 4 fuzzy
SOMEONE CARES,SOMEONE CARES,IP29399R,SOMEONE CARES LIMITED,1.0,1,114922,,tier 4 fuzzy
Kingfisher School,KINGFISHER SCHOOL,15500435,KINGFISHER SCHOOL LIMITED,1.0,1,113158.98,,tier 4 fuzzy
RAPE AND SEXUAL ABUSE COUNSELLING CENTRE (DARLINGTON AND COUNTY DURHAM),RAPE AND SEXUAL ABUSE COUNSELLING CENTRE DARLINGTON AND COUNTY DURHAM,CE005491,RAPE AND SEXUAL ABUSE COUNSELLING CENTRE (DARLINGTON AND COUNTY DURHAM) CIO,0.9,1,112110,,tier 4 fuzzy
Apollo Cleaning Solutions,APOLLO CLEANING SOLUTIONS,07166680,APOLLO CLEANING SOLUTIONS LTD,1.0,1,112098.44,,tier 4 fuzzy
Anaeko Limited,ANAEKO LTD,NI044494,ANAEKO LIMITED,1.0,1,111337.1,,tier 4 fuzzy
GLOUCESTERSHIRE RAPE AND SEXUAL ABUSE CENTRE [GRASAC],GLOUCESTERSHIRE RAPE AND SEXUAL ABUSE CENTRE GRASAC,CE000857,GLOUCESTERSHIRE RAPE AND SEXUAL ABUSE CENTRE,0.8571,1,110818,,tier 4 fuzzy
The Guide dogs for the Blind Association,GUIDE DOGS FOR THE BLIND ASSOCIATION,00291646,GUIDE DOGS FOR THE BLIND ASSOCIATION(THE),1.0,1,110502.55,,tier 4 fuzzy
The Guide dogs for the Blind Association,GUIDE DOGS FOR THE BLIND ASSOCIATION,00291646,GUIDE DOGS FOR THE BLIND ASSOCIATION(THE),,1,110502.55,,tier 1 demoted: register name disagrees
Silver Birch School,SILVER BIRCH SCHOOL,11213769,SILVER BIRCH SCHOOL LTD,1.0,1,109999.98,,tier 4 fuzzy
WEST MERCIA RAPE AND SEXUAL ABUSE SUPPORT CENTRE (WMRSASC),WEST MERCIA RAPE AND SEXUAL ABUSE SUPPORT CENTRE WMRSASC,07083844,WEST MERCIA RAPE AND SEXUAL ABUSE SUPPORT CENTRE,0.8889,1,109741,,tier 4 fuzzy
Step and Stone,STEP AND STONE,07559083,STEP AND STONE LIMITED,1.0,1,108769.41,,tier 4 fuzzy
GET THE DATA,GET THE DATA,08059874,GET THE DATA LTD,1.0,1,104958.18,,tier 4 fuzzy
SURVIVOR SPACE OXFORDSHIRE,SURVIVOR SPACE OXFORDSHIRE,06835605,SURVIVOR SPACE OXFORDSHIRE LTD,1.0,1,104870,,tier 4 fuzzy
Codebase8,CODEBASE8,02696599,CODEBASE8 LIMITED,1.0,1,104457.6,,tier 4 fuzzy
Arrow Self Drive,ARROW SELF DRIVE,03794992,ARROW SELF DRIVE LIMITED,1.0,1,103714.92,,tier 4 fuzzy
Arrow Self Drive,ARROW SELF DRIVE,02206442,ARROW COMMERCIAL CENTRE (HUDDERSFIELD) LIMITED,,1,103714.92,,tier 1 demoted: register name disagrees
Cabot Learning Federation Ltd t/a Lansdown Park Academy,CABOT LEARNING FEDERATION LTD,06207590,CABOT LEARNING FEDERATION,1.0,1,103535.95,,tier 4 fuzzy
TLT Solicitors,TLT SOLICITORS,05022675,TLT SOLICITORS LIMITED,1.0,1,101711,,tier 4 fuzzy
NEC SOFTWARE SOLUTIONS,NEC SOFTWARE SOLUTIONS,00968498,NEC SOFTWARE SOLUTIONS UK LIMITED,,1,101563.86,,tier 1 demoted: register name disagrees
Moor Allerton Preparatory School,MOOR ALLERTON PREPARATORY SCHOOL,09738485,MOOR ALLERTON PREPARATORY SCHOOL LIMITED,1.0,1,101437.63,,tier 4 fuzzy
The Mount School,MOUNT SCHOOL,10806477,THE MOUNT SCHOOL LIMITED,1.0,1,101390.96,,tier 4 fuzzy
Northern Gas Networks,NORTHERN GAS NETWORKS,05167070,NORTHERN GAS NETWORKS LIMITED,1.0,1,100559.69,,tier 4 fuzzy
Jordans Solicitors,JORDANS SOLICITORS,OC312294,JORDANS SOLICITORS LLP,1.0,1,100000,,tier 4 fuzzy
CW Studio,CW STUDIO,08054283,CW STUDIO LIMITED,1.0,1,99872.11,,tier 4 fuzzy
The Proud Trust,PROUD TRUST,05585290,THE PROUD TRUST LTD,1.0,1,99847.63,,tier 4 fuzzy
Ecomix Concrete Ltd,ECOMIX CONCRETE LTD,06431224,ECOMIX CONCRETE LIMITED,1.0,1,98002.5,,tier 4 fuzzy
Matrix Traffic and Transport Data,MATRIX TRAFFIC AND TRANSPORT DATA,10495309,MATRIX TRAFFIC AND TRANSPORT DATA LIMITED,1.0,1,97769.5,,tier 4 fuzzy
Voyage 1,VOYAGE 1,02215899,VOYAGE 1 LIMITED,1.0,1,97662.11,,tier 4 fuzzy
Coffee4Craig Ltd,COFFEE4CRAIG LTD,CE006374,COFFEE4CRAIG,1.0,1,97550,,tier 4 fuzzy
CURTIS LAW SOLICITORS,CURTIS LAW SOLICITORS,11426885,CURTIS LAW SOLICITORS LIMITED,1.0,1,97500,,tier 4 fuzzy
CYBANETIX,CYBANETIX,10558582,CYBANETIX LIMITED,1.0,1,97311.1,,tier 4 fuzzy
TJA Associates,TJA ASSOCIATES,09791686,TJA ASSOCIATES LIMITED,1.0,1,97189.2,,tier 4 fuzzy
Eville & Jones Commercial Services,EVILLE AND JONES COMMERCIAL SERVICES,09341619,EVILLE & JONES (COMMERCIAL SERVICES) LIMITED,1.0,1,96514.12,,tier 4 fuzzy
Cornthwaite Tree Care,CORNTHWAITE TREE CARE,06623718,CORNTHWAITE TREE CARE LIMITED,1.0,1,95822.8,,tier 4 fuzzy
Second Chance Housing,SECOND CHANCE HOUSING,07274686,SECOND CHANCE HOUSING LTD,1.0,1,95720,,tier 4 fuzzy
LANDOR LINKS,LANDOR LINKS,02346104,LANDOR LINKS LIMITED,1.0,1,95512,,tier 4 fuzzy
NLA MEDIA ACCESS,NLA MEDIA ACCESS,03003569,NLA MEDIA ACCESS LIMITED,,1,94392,,tier 1 demoted: register name disagrees
NLA MEDIA ACCESS,NLA MEDIA ACCESS,03003569,NLA MEDIA ACCESS LIMITED,1.0,1,94392,,tier 4 fuzzy
Willow Tree Support Services Ltd,WILLOW TREE SUPPORT SERVICES LTD,11642105,WILLOW TREE SUPPORT SERVICES LTD,1.0,1,93699.13,,tier 4 fuzzy
Copmanthorpe Childcare Centre,COPMANTHORPE CHILDCARE CENTRE,11895873,COPMANTHORPE CHILDCARE CENTRE LIMITED,1.0,1,93191.58,,tier 4 fuzzy
Response Team 247 Ltd,RESPONSE TEAM 247 LTD,13522163,RESPONSE TEAM 247 LIMITED,1.0,1,93059.03,,tier 4 fuzzy
BECHTLE DIRECT LTD,BECHTLE DIRECT LTD,03283032,BECHTLE LIMITED,,1,92975.27,,tier 1 demoted: register name disagrees
Alan Wood & Partners,ALAN WOOD AND PARTNERS,02648520,ALAN WOOD & PARTNERS LIMITED,1.0,1,92619.6,,tier 4 fuzzy
The Park Community Centre,PARK COMMUNITY CENTRE,07472743,THE PARK COMMUNITY CENTRE LIMITED,1.0,1,92126.09,,tier 4 fuzzy
The Blueberry Academy,BLUEBERRY ACADEMY,06052107,THE BLUEBERRY ACADEMY LIMITED,1.0,1,91910.71,,tier 4 fuzzy
GOCARDLESS,GOCARDLESS,07495895,GOCARDLESS LTD,1.0,1,91383.33,,tier 4 fuzzy
Strive Services,STRIVE SERVICES,14264245,STRIVE SERVICES LIMITED,1.0,1,91196.81,,tier 4 fuzzy
ARUP,ARUP,02461313,ARUP LIMITED,1.0,1,90818.7,,tier 4 fuzzy
Thompson Solicitors,THOMPSON SOLICITORS,15700697,THOMPSON SOLICITORS LIMITED,1.0,1,90548,,tier 4 fuzzy
BRITISH INSTITUTE OF INTERNATIONAL & COMPARATIVE LAW,BRITISH INSTITUTE OF INTERNATIONAL AND COMPARATIVE LAW,00615025,BRITISH INSTITUTE OF INTERNATIONAL AND COMPARATIVE LAW(THE),0.875,1,87560.58,,tier 4 fuzzy
