supplier_name_raw,supplier_name_norm,candidate_company_number,candidate_company_name,match_score,candidate_count,total_spend,decision,queue_reason
Holiday Inn,HOLIDAY INN,05479356,HOLIDAY INN LIMITED,1.0,1,758403,,tier 4 fuzzy
Complete Fire Protection,COMPLETE FIRE PROTECTION,02512101,COMPLETE FIRE PROTECTION LIMITED,1.0,1,750058.22,,tier 4 fuzzy
Shelter,SHELTER,01664057,SHELTER LIMITED,1.0,1,746244.94,,tier 4 fuzzy
Amicus Foster Care,AMICUS FOSTER CARE,06724648,AMICUS FOSTER CARE LIMITED,1.0,1,745457.38,,tier 4 fuzzy
FIDUM,FIDUM,11928597,FIDUM LTD,1.0,1,743597.31,,tier 4 fuzzy
TRAMS LIMITED,TRAMS LTD,02518864,ECONOCOM PRODUCTS & SOLUTIONS UK LIMITED,,1,742817.38,,tier 1 demoted: register name disagrees
Clear Channel UK Ltd,CLEAR CHANNEL UK LTD,00950526,BAUER MEDIA OUTDOOR UK LIMITED,,1,742389.32,,tier 1 demoted: register name disagrees
Premier Property and Construction,PREMIER PROPERTY AND CONSTRUCTION,09246122,PREMIER PROPERTY AND CONSTRUCTION LIMITED,1.0,1,735029,,tier 4 fuzzy
Ware & Kay Solicitors,WARE AND KAY SOLICITORS,08842594,WARE & KAY SOLICITORS LTD,1.0,1,720000,,tier 4 fuzzy
Turner & Townsend Project Management,TURNER AND TOWNSEND PROJECT MANAGEMENT,02165592,TURNER & TOWNSEND PROJECT MANAGEMENT LIMITED,1.0,1,710982.08,,tier 4 fuzzy
IFF RESEARCH LTD,IFF RESEARCH LTD,00849983,I.F.F RESEARCH LIMITED,,1,706894.12,,tier 1 demoted: register name disagrees
CDW Limited UK,CDW LIMITED UK,02465350,CDW LIMITED,,1,704336.93,,tier 1 demoted: register name disagrees
Malsis Hall,MALSIS HALL,10257170,MALSIS HALL LIMITED,1.0,1,696168.67,,tier 4 fuzzy
York Montessori Nursery,YORK MONTESSORI NURSERY,03125642,YORK MONTESSORI NURSERY LTD,1.0,1,689696.08,,tier 4 fuzzy
Fieldway Supplies Ltd,FIELDWAY SUPPLIES LTD,05743944,FIELDWAY COMPLIANCE LTD,,1,685654.17,,tier 1 demoted: register name disagrees
Remedi,REMEDI,13002415,REMEDI LTD,1.0,1,683107.96,,tier 4 fuzzy
Leeds Commercial,LEEDS COMMERCIAL,00587618,LEEDS COMMERCIAL LIMITED,1.0,1,679065.58,,tier 4 fuzzy
Baker & McKenzie,BAKER AND MCKENZIE,OC311297,BAKER & MCKENZIE LLP,1.0,1,678557,,tier 4 fuzzy
SURVIVORS NETWORK,SURVIVORS NETWORK,07780363,THE SURVIVORS' NETWORK LIMITED,1.0,1,673144,,tier 4 fuzzy
The National Fostering Agency,NATIONAL FOSTERING AGENCY,03127814,THE NATIONAL FOSTERING AGENCY LIMITED,1.0,1,657838.64,,tier 4 fuzzy
Fulford Nursing Home,FULFORD NURSING HOME,14082219,FULFORD NURSING HOME LIMITED,1.0,1,651294.32,,tier 4 fuzzy
Softcat,SOFTCAT,02174990,SOFTCAT PLC,1.0,1,648240.24,,tier 4 fuzzy
Softcat,SOFTCAT,02174990,SOFTCAT PLC,,1,648240.24,,tier 1 demoted: register name disagrees
NATIONAL ASSOCIATION OF CHILD CONTACT CENTRES (NACCC),NATIONAL ASSOCIATION OF CHILD CONTACT CENTRES NACCC,03886023,NATIONAL ASSOCIATION OF CHILD CONTACT CENTRES,0.8571,1,642000,,tier 4 fuzzy
Autism Plus,AUTISM PLUS,02098193,AUTISM PLUS LIMITED,1.0,1,632344.52,,tier 4 fuzzy
Smarter Technologies,SMARTER TECHNOLOGIES,07172781,SMARTER TECHNOLOGIES LTD,1.0,1,614235.36,,tier 4 fuzzy
Civica Election Services,CIVICA ELECTION SERVICES,02263092,CIVICA ELECTION SERVICES LIMITED,1.0,1,603331.18,,tier 4 fuzzy
CPC PROJECT SERVICES LLP,CPC PROJECT SERVICES LLP,OC366907,CPC PROJECT SERVICES (UK) LLP,,1,601176,,tier 1 demoted: register name disagrees
BMG Research,BMG RESEARCH,02841970,BMG RESEARCH LTD,,1,584240.3,,tier 1 demoted: register name disagrees
BMG Research,BMG RESEARCH,02841970,BMG RESEARCH LTD,1.0,1,584240.3,,tier 4 fuzzy
Next Steps,NEXT STEPS,06925319,NEXT STEPS LTD,1.0,1,577819.02,,tier 4 fuzzy
Sherburn House,SHERBURN HOUSE,07009722,SHERBURN HOUSE LTD,1.0,1,573310.84,,tier 4 fuzzy
Manchester Music City,MANCHESTER MUSIC CITY,14235909,MANCHESTER MUSIC CITY LIMITED,1.0,1,567579,,tier 4 fuzzy
Heaton Park View Nursery,HEATON PARK VIEW NURSERY,08602955,HEATON PARK VIEW NURSERY LIMITED,1.0,1,549666.91,,tier 4 fuzzy
By the Bridge North West,BY THE BRIDGE NORTH WEST,05448746,BY THE BRIDGE NORTH WEST LIMITED,1.0,1,548061.21,,tier 4 fuzzy
AVMI KINLY LTD,AVMI KINLY LTD,02468436,KINLY UK LTD,,1,546105.96,,tier 1 demoted: register name disagrees
HERTS ABILITY,HERTS ABILITY,03249335,HERTS ABILITY LIMITED,1.0,1,544928.21,,tier 4 fuzzy
CRONER-I LTD,CRONER-I LTD,10878116,CRONER LIMITED,,1,541320,,tier 1 demoted: register name disagrees
Street Cars,STREET CARS,12140010,STREET CARS LIMITED,1.0,1,533979.67,,tier 4 fuzzy
Acorn Education and Care Ltd t/a Hillcrest New Barn School,ACORN EDUCATION AND CARE LTD,05019430,ACORN CARE AND EDUCATION LIMITED,1.0,1,525616.37,,tier 4 fuzzy
Jones Lang Lasalle,JONES LANG LASALLE,01188567,JONES LANG LASALLE LIMITED,1.0,1,525222.93,,tier 4 fuzzy
Jones Lang Lasalle,JONES LANG LASALLE,01188567,JONES LANG LASALLE LIMITED,,1,525222.93,,tier 1 demoted: register name disagrees
Tiddlywinks Day Nursery,TIDDLYWINKS DAY NURSERY,05627488,TIDDLYWINKS DAY NURSERY LTD,1.0,1,518176.79,,tier 4 fuzzy
Paypoint,PAYPOINT,03581541,PAYPOINT PLC,1.0,1,516895.96,,tier 4 fuzzy
RIVUS FLEET SOLUTIONS LIMITED,RIVUS FLEET SOLUTIONS LTD,04383521,RIVUS FLEET SOLUTIONS LIMITED,1.0,1,514406.82,,tier 4 fuzzy
Carrington Riding Centre,CARRINGTON RIDING CENTRE,03753552,CARRINGTON RIDING CENTRE LIMITED,1.0,1,510508.68,,tier 4 fuzzy
Richmond Care,RICHMOND CARE,06422056,RICHMOND CARE LIMITED,1.0,1,506953.59,,tier 4 fuzzy
GLUE REPLY,GLUE REPLY,07299987,GLUE REPLY LIMITED,1.0,1,505014,,tier 4 fuzzy
Manchester Heat Network Tradeco,MANCHESTER HEAT NETWORK TRADECO,11954693,MANCHESTER HEAT NETWORK TRADECO LIMITED,1.0,1,500000,,tier 4 fuzzy
42nd Street,42ND STREET,01706903,42ND STREET LIMITED,1.0,1,494253.36,,tier 4 fuzzy
MAR VEHICLE SOLUTIONS LTD,MAR VEHICLE SOLUTIONS LTD,12742234,MAR VEHICLE SOLUTIONS LTD,1.0,1,490132.02,,tier 4 fuzzy
H F Brown & Son,H F BROWN AND SON,04132924,H.F. BROWN & SON LIMITED,1.0,1,481315.51,,tier 4 fuzzy
Amore Complex Care,AMORE COMPLEX CARE,11086042,AMORE COMPLEX CARE LTD,1.0,1,477832.32,,tier 4 fuzzy
Able Carers,ABLE CARERS,09349645,ABLE CARERS LIMITED,1.0,1,477805.71,,tier 4 fuzzy
Mott MacDonald,MOTT MACDONALD,01243967,MOTT MACDONALD LIMITED,1.0,1,476371.96,,tier 4 fuzzy
TAXAID,TAXAID,02814505,TAXAID LIMITED,1.0,1,470064,,tier 4 fuzzy
Murray Hills Solicitors,MURRAY HILLS SOLICITORS,08378879,MURRAY HILLS SOLICITORS LIMITED,1.0,1,470000,,tier 4 fuzzy
Mazars LLP,MAZARS LLP,OC308299,FORVIS MAZARS LLP,,1,467592,,tier 1 demoted: register name disagrees
Manchester Youth Zone,MANCHESTER YOUTH ZONE,07025561,THE MANCHESTER YOUTH ZONE LIMITED,1.0,1,466141.58,,tier 4 fuzzy
Handicare Accessibility Limited,HANDICARE ACCESSIBILITY LTD,04109393,SAVARIA LIFTS (UK) LTD.,,1,459794.78,,tier 1 demoted: register name disagrees
Unit 4 Business Software Ltd,UNIT 4 BUSINESS SOFTWARE LTD,01737985,UNIT4 BUSINESS SOFTWARE LIMITED,,1,459390,,tier 1 demoted: register name disagrees
Oldham Total Care,OLDHAM TOTAL CARE,14995316,OLDHAM TOTAL CARE LTD,1.0,1,455996.46,,tier 4 fuzzy
SKILLSOFT UK LTD,SKILLSOFT UK LTD,02051729,SKILLSOFT U.K. LIMITED,,1,454200,,tier 1 demoted: register name disagrees
Acacia Lodge Care Home,ACACIA LODGE CARE HOME,13693826,ACACIA LODGE CARE HOME LIMITED,1.0,1,453539.07,,tier 4 fuzzy
Benjamin UK,BENJAMIN UK,04938472,BENJAMIN UK LTD,1.0,1,451153.23,,tier 4 fuzzy
GERALD EVE LLP,GERALD EVE LLP,OC339470,NEWMARK GERALD EVE LLP,,1,435729.56,,tier 1 demoted: register name disagrees
Premier Property Lawyers,PREMIER PROPERTY LAWYERS,04323405,PREMIER PROPERTY LAWYERS LIMITED,1.0,1,433816.39,,tier 4 fuzzy
Pick Everard,PICK EVERARD,10098632,PEKG LTD,,1,426467.77,,tier 1 demoted: register name disagrees
Nks Contracts Ltd,NKS CONTRACTS LTD,03554173,N K S CONTRACTS LIMITED,,1,422943.44,,tier 1 demoted: register name disagrees
Hartcliffe & Withywood Ventures Ltd,HARTCLIFFE AND WITHYWOOD VENTURES LTD,01971731,HARTCLIFFE & WITHYWOOD VENTURES,1.0,1,420871.76,,tier 4 fuzzy
ITGL Limited,ITGL LTD,07902312,CONSCIA GROUP UK LTD,,1,419433.99,,tier 1 demoted: register name disagrees
Inseego Limited,INSEEGO LTD,04643588,CTRACK TELEMATICS LTD,,1,419400,,tier 1 demoted: register name disagrees
Elborough Care Services,ELBOROUGH CARE SERVICES,12879765,ELBOROUGH CARE SERVICES LIMITED,1.0,1,418973.11,,tier 4 fuzzy
Choices Home for Children Ltd,CHOICES HOME FOR CHILDREN LTD,04211653,CHOICES HOME FOR CHILDREN LIMITED,1.0,1,415285.88,,tier 4 fuzzy
